City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Ocean Springs,US,76.01,overcast clouds,30.4113,-88.8278,Golden Nugget Biloxi Hotel & Casino
651,Kerema,PG,77.11,light rain,-7.9631,145.7785,Frena Lodge
656,Bacolod,PH,82.08,overcast clouds,10.6667,122.95,Planta Hotel & Residences
667,Kahului,US,78.06,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
668,Muisne,EC,76.89,broken clouds,0.6,-80.0333,Quinta Samay
671,Pangai,TO,75.31,light rain,-19.8,-174.35,Ha'apai Beach Resort
675,Lampazos De Naranjo,MX,77.32,broken clouds,27.0167,-100.5167,Bella Vista
678,Hamada,JP,75.99,overcast clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
679,Batagay,RU,84.47,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
680,Ginda,IN,83.07,scattered clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
686,Ciudad Bolivar,VE,76.1,overcast clouds,8.1222,-63.5497,Hotel Edi
688,Teapa,MX,77.4,overcast clouds,17.55,-92.95,Hotel Quintero
696,Totness,SR,75.79,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
697,Wilmington,US,75.85,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
699,Douglas,US,78.1,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
